iteration,weighted_price_loss
0,11.817977905273438
1,11.494796752929688
2,11.325872421264648
3,12.063852310180664
4,10.916069030761721
5,10.611438751220703
6,10.289827346801758
7,9.5003194808959961
8,9.9390296936035156
9,8.8794746398925781
10,9.1673688888549805
11,8.0759048461914062
12,8.3285350799560547
13,8.2502756118774414
14,8.0251550674438477
15,7.4818477630615234
16,8.0114459991455078
17,7.9652824401855469
18,8.9016838073730469
19,8.6770687103271484
20,8.8657302856445312
21,8.4379062652587891
22,7.7012462615966797
23,8.4490833282470703
24,8.4865789413452148
25,7.6177024841308594
26,8.6575965881347656
27,8.0609846115112305
28,7.6048927307128906
29,7.9021997451782227
30,8.0354423522949219
31,8.0081777572631836
32,7.8248720169067383
33,8.1671056747436523
34,8.0351810455322266
35,8.0092954635620117
36,8.2038955688476562
37,7.8736124038696289
38,8.0816993713378906
39,8.2714147567749023
40,8.5669746398925781
41,7.452786922454834
42,7.9218072891235352
43,7.5567564964294434
44,7.751500129699707
45,7.5455985069274902
46,7.3413772583007812
47,7.298954963684082
48,8.3916893005371094
49,7.8883109092712402
50,7.8613309860229492
51,7.3389506340026847
52,7.3772892951965332
53,7.4232869148254386
54,7.7052087783813477
55,7.2873716354370117
56,7.4895591735839844
57,7.1331272125244141
58,6.8058767318725586
59,6.4543776512145996
60,6.4897894859313965
61,6.8586573600769043
62,6.6377763748168954
63,5.5905790328979492
64,5.6044578552246094
65,5.4930963516235352
66,5.5734543800354004
67,4.9872055053710938
68,5.2119970321655273
69,4.8505206108093262
70,5.384645938873291
71,5.5164766311645508
72,5.5593776702880859
73,6.0819549560546884
74,5.142941951751709
75,5.5839061737060547
76,6.1027865409851074
77,4.8916316032409668
78,4.7979812622070312
79,4.8850994110107422
80,5.0239486694335938
81,5.1585803031921387
82,5.1473522186279297
83,5.0411100387573242
84,5.288203239440918
85,5.0900936126708984
86,4.7908849716186523
87,4.9268178939819336
88,4.9412970542907724
89,5.0008115768432617
90,5.1651158332824707
91,5.0189380645751953
92,4.8480796813964844
93,4.8821678161621094
94,4.7312054634094238
95,5.0840306282043457
96,5.0597200393676758
97,4.9412384033203125
98,5.1070504188537598
99,5.0892348289489746
100,5.6426820755004883
101,4.9662666320800781
102,5.2089557647705078
103,4.9144349098205566
104,5.1096315383911133
105,5.3141131401062012
106,5.2713327407836914
107,4.7648811340332031
108,5.0420475006103516
109,4.9167799949645996
110,5.2978873252868652
111,5.2418828010559082
112,4.9165563583374023
113,4.9138984680175781
114,5.0921969413757324
115,4.9859652519226074
116,5.2526841163635254
117,5.3938398361206055
118,5.0037841796875
119,5.0110797882080078
120,5.438140869140625
121,5.2884807586669922
122,5.3849449157714844
123,5.0338540077209473
124,4.673919677734375
125,5.2591419219970703
126,5.0391278266906738
127,4.8766927719116211
128,5.5109481811523438
129,4.7137947082519531
130,5.5771217346191406
131,4.8281011581420898
132,5.2903599739074707
133,4.7940454483032227
134,4.9604091644287109
135,5.2540683746337891
136,5.0411090850830078
137,4.4758267402648926
138,4.5422534942626953
139,4.8209104537963867
140,5.1276636123657227
141,4.8327727317810059
142,4.5628995895385742
143,4.9905257225036621
144,5.0153465270996094
145,5.1875138282775879
146,4.9283237457275391
147,5.2101759910583496
148,5.0041165351867676
149,4.8359060287475586
150,5.4806432723999023
151,4.6740121841430664
152,4.8955354690551758
153,4.7942657470703125
154,5.2137222290039062
155,5.1069750785827637
156,4.8141250610351562
157,5.0107760429382324
158,4.852104663848877
159,4.783935546875
160,5.0867938995361328
161,5.3953471183776855
162,4.6226015090942383
163,5.1791067123413086
164,4.9238681793212891
165,4.9445610046386719
166,4.8028035163879403
167,4.803192138671875
168,4.6962165832519531
169,4.7984523773193359
170,4.5792112350463867
171,4.6856899261474609
172,4.9790210723876953
173,4.7955718040466309
174,4.7943129539489746
175,4.8974437713623047
176,4.857262134552002
177,4.7015419006347656
178,5.2876272201538086
179,5.1600399017333984
180,4.7362213134765625
181,4.7877111434936523
182,4.7378301620483398
183,4.6520051956176758
184,5.103785514831543
185,5.4303350448608398
186,4.7137165069580078
187,4.535862922668457
188,4.7503318786621094
189,4.9854044914245605
190,4.602257251739502
191,4.834869384765625
192,4.7720746994018564
193,4.7456398010253906
194,4.7732396125793457
195,4.8445987701416016
196,5.1586370468139648
197,4.9650678634643564
198,4.5726213455200204
199,4.7825193405151367
200,4.7855997085571289
201,4.6711273193359375
202,4.7274074554443359
203,4.8872203826904297
204,5.0544862747192383
205,4.6407947540283203
206,4.6083769798278809
207,4.632697582244873
208,4.6088714599609375
209,4.6999902725219727
210,4.4988040924072266
211,4.5277500152587891
212,4.6625699996948242
213,5.1685028076171884
214,4.7261347770690918
215,4.2615594863891602
216,4.5257525444030762
217,4.9885683059692383
218,4.3052158355712891
219,4.6339397430419922
220,4.1382002830505371
221,4.5112423896789551
222,4.1782059669494629
223,4.0400485992431641
224,4.7778759002685547
225,4.5917110443115234
226,4.1283473968505859
227,4.2584857940673828
228,4.1747465133666992
229,4.4214887619018564
230,4.0410647392272949
231,4.4547429084777832
232,4.1164755821228027
233,3.8186435699462891
234,3.5454504489898682
235,3.9510388374328609
236,3.9121713638305664
237,3.743340015411377
238,3.2018928527832031
239,3.043936014175415
240,3.1546764373779297
241,3.0536947250366211
242,3.0529212951660161
243,3.1046369075775142
244,3.0750222206115723
245,2.6712894439697266
246,2.4156332015991211
247,2.4177634716033936
248,2.5680704116821289
249,2.2887940406799321
250,2.0954933166503902
251,1.9456162452697756
252,1.7343446016311646
253,1.4003610610961914
254,1.46854567527771
255,1.7486729621887207
256,1.3326505422592163
257,0.83640766143798828
258,1.2069522142410278
259,0.9182288646697998
260,1.1549689769744873
261,0.59414708614349365
262,1.6379921436309814
263,1.4741889238357544
264,0.57494747638702393
265,1.4051817655563354
266,0.59286272525787354
267,0.9543740749359132
268,0.71277916431427002
269,0.89295279979705811
270,0.64153128862380981
271,0.33310788869857788
272,1.0207165479660034
273,0.1081404536962509
274,0.8486483097076416
275,0.75990152359008789
276,0.3721270859241485
277,0.83308947086334229
278,0.25635510683059692
279,0.7665250301361084
280,0.64166241884231567
281,0.32176113128662109
282,0.1492738276720047
283,0.33173799514770508
284,0.25386577844619751
285,0.463129311800003
286,0.059557043015956802
287,0.2157970964908599
288,0.35711073875427241
289,0.15648391842842099
290,0.17839682102203369
291,0.30424833297729492
292,0.41187337040901179
293,0.2428136318922042
294,0.094996325671672793
295,0.14108526706695551
296,0.098596930503845201
297,0.24154683947563171
298,0.1212829947471618
299,0.1573910117149353
300,0.22243720293045041
301,0.14033472537994379
302,0.27275067567825317
303,0.15523941814899439
304,0.35523223876953119
305,0.2275075763463974
306,0.35878142714500427
307,0.065277636051177895
308,0.1089259311556816
309,0.23736336827278129
310,0.52292537689208984
311,0.059430070221424103
312,0.56328392028808594
313,0.32642683386802668
314,0.72933000326156616
315,0.18586437404155731
316,0.052936770021915401
317,0.79227966070175171
318,0.19475525617599479
319,0.14872132241725919
320,0.93798804283142079
321,0.090237699449062306
322,0.62581634521484375
323,0.18534255027770991
324,0.066630780696868896
325,0.22612105309963221
326,0.1240123063325882
327,0.16241857409477231
328,0.1244366541504859
329,0.51985329389572144
330,0.1239971220493316
331,0.26494830846786499
332,0.77164685726165771
333,0.1120263040065765
334,0.38834145665168762
335,0.44927573204040527
336,0.1798778772354126
337,0.15125711262226099
338,0.1271001398563385
339,0.1063019782304763
340,0.2284885346889495
341,0.1873684823513031
342,0.1127200275659561
343,0.1069003194570541
344,0.32561969757080078
345,0.14286509156227109
346,0.1030198037624359
347,0.19726786017417899
348,0.047499932348728097
349,0.15617507696151731
350,0.096667736768722506
351,0.070920877158641801
352,0.074978262186050401
353,0.0910787433385849
354,0.1690304428339004
355,0.11334043741226189
356,0.27970278263092041
357,0.058697409927845001
358,0.042322892695665297
359,0.55855822563171387
360,0.174052208662033
361,0.095477648079395294
362,0.059056267142295803
363,0.057412151247262899
364,0.17477861046791071
365,0.11547414213418961
366,0.053412966430187198
367,0.0605684891343116
368,0.25594311952590942
369,0.059032440185546799
370,0.1248753294348716
371,0.045372769236564602
372,0.18439511954784391
373,0.068691425025463104
374,0.1675930321216583
375,0.47062480449676508
376,0.098615363240242004
377,0.0521451532840728
378,0.38005822896957397
379,0.22155517339706421
380,0.096065178513526903
381,0.1240927129983902
382,0.2196228206157684
383,0.24277958273887629
384,0.15521073341369629
385,0.44203484058380121
386,0.50221872329711914
387,0.12984365224838251
388,0.1170139163732528
389,0.1698984801769256
390,0.26303601264953608
391,0.17804925143718719
392,0.12638188898563379
393,0.67369669675827026
394,0.1089365035295486
395,0.2028223574161529
396,0.096086174249649006
397,0.094993762671947396
398,0.15838801860809321
399,0.22812187671661369
400,0.11555677652359
401,0.33622646331787109
402,0.0936449915170669
403,0.13485217094421381
404,0.085184425115585299
405,0.16530789434909821
406,0.064123243093490601
407,0.1575685441493988
408,0.20183718204498291
409,0.16020575165748591
410,0.2090619802474975
411,0.1070509254932403
412,0.037161458283662699
413,0.2662961483001709
414,0.48951718211174011
415,0.067649453878402696
416,0.18743045628070831
417,0.32224437594413757
418,0.24094974994659421
419,0.16742755472660059
420,0.242313727736473
421,0.37694138288497919
422,0.064650774002075195
423,0.56887906789779663
424,0.72471565008163452
425,0.2611564695835113
426,0.50719535350799561
427,0.91727864742279042
428,0.095163583755493095
429,0.33498051762580872
430,0.148360401391983
431,0.21512579917907709
432,0.15563565492629999
433,0.4513377845287323
434,0.12484224140644069
435,0.054119650274515103
436,0.084143996238708496
437,0.133602574467659
438,0.31268185377120972
439,0.22204646468162531
440,0.076245993375778198
441,0.092293679714202798
442,0.1795099079608917
443,0.028759520500898299
444,0.099253058433532701
445,0.0653051286935806
446,0.1019282788038253
447,0.069640643894672394
448,0.079106375575065599
449,0.15341886878013611
450,0.17646640539169309
451,0.059417035430669701
452,0.082229271531105
453,0.092813998460769598
454,0.169667363166809
455,0.1283765435218811
456,0.070961698889732305
457,0.12774449586868281
458,0.3063406348228454
459,0.15199835598468781
460,0.073004662990569999
461,0.29830679297447199
462,0.0378619730472564
463,0.1387481093406677
464,0.061338283121585797
465,0.059500347822904497
466,0.049383342266082701
467,0.1044336408376693
468,0.079873904585838304
469,0.24419845640659329
470,0.070311084389686501
471,0.3262982964515686
472,0.035908840596675803
473,0.085843063890933893
474,0.1099261492490768
475,0.041852090507745701
476,0.084334135055541895
477,0.0703089758753776
478,0.026401853188872299
479,0.1174943447113037
480,0.27958285808563232
481,0.24443250894546509
482,0.58612751960754395
483,0.040824964642524698
484,0.26572930812835688
485,0.34658810496330261
486,0.63451254367828369
487,0.19765008985996241
488,0.12343667447566981
489,0.32122737169265742
490,0.41624933481216431
491,0.1074185967445373
492,0.16911408305168149
493,0.57567059993743896
494,0.068196631968021296
495,0.116885095834732
496,0.11815782636404031
497,0.14789803326129911
498,0.095600664615631104
499,0.1459649503231048
500,0.063834331929683602
501,0.0309956315904855
502,0.1179840266704559
503,0.31501883268356318
504,0.053701378405094098
505,0.2304698377847671
506,0.27123346924781799
507,0.31355047225952148
508,0.38725665211677551
509,0.351443201303482
510,0.1646504998207092
511,0.079765930771827698
512,0.043456837534904397
513,0.18896317481994629
514,0.1764070391654968
515,0.078473359346389701
516,0.1234075799584388
517,0.090250059962272602
518,0.1125041246414184
519,0.070510447025299003
520,0.27735400199890131
521,0.25711750984191889
522,0.030787207186222
523,0.0689698010683059
524,0.1661087423563003
525,0.082178756594657898
526,0.032511554658412899
527,0.1112595498561859
528,0.1070934534072876
529,0.052518248558044399
530,0.0213538035750389
531,0.1014631986618042
532,0.1042664945125579
533,0.1864967346191406
534,0.067805051803588798
535,0.018558181822299898
536,0.1638231426477432
537,0.1315579265356063
538,0.025138780474662701
539,0.090432971715927096
540,0.042665407061576802
541,0.1008876785635948
542,0.099608957767486503
543,0.035110391676425899
544,0.045999214053153901
545,0.034056738018989501
546,0.065329767763614599
547,0.036834985017776399
548,0.1647661030292511
549,0.0175245404243469
550,0.0513234250247478
551,0.053606018424034098
552,0.2127206027507782
553,0.1412169337272644
554,0.022891696542501401
555,0.2120266109704971
556,0.061440140008926301
557,0.058333296328783001
558,0.070481486618518802
559,0.031816639006137799
560,0.11441986262798309
561,0.041800417006015701
562,0.0369917899370193
563,0.11002349853515619
564,0.1316772848367691
565,0.033610664308071102
566,0.13716195523738861
567,0.13824398815631861
568,0.020107252523303001
569,0.1585862785577774
570,0.0509328693151474
571,0.0972152724862098
572,0.0327749326825141
573,0.044591948390006998
574,0.057039059698581598
575,0.1775228679180145
576,0.0215742886066436
577,0.19008982181549069
578,0.059053614735603298
579,0.025887854397296899
580,0.093271650373935699
581,0.055951885879039702
582,0.075637161731719901
583,0.034862171858549097
584,0.17187118530273429
585,0.050181385129690101
586,0.017081320285797098
587,0.16564023494720459
588,0.0216064192354679
589,0.078315138816833496
590,0.076885588467121097
591,0.051784493029117501
592,0.13615576922893519
593,0.062635108828544603
594,0.031266942620277398
595,0.21983334422111511
596,0.044664394110441201
597,0.069029882550239494
598,0.049871437251567799
599,0.046238366514444303
600,0.026128765195608101
601,0.064171530306339195
602,0.051955893635749803
603,0.083743542432785006
604,0.0310383010655641
605,0.087135627865791307
606,0.20249861478805539
607,0.12642484903335571
608,0.061870310455560601
609,0.2471094727516174
610,0.25176596641540527
611,0.022676907479763
612,0.31394046545028681
613,0.1893897652626037
614,0.2298950850963592
615,0.024154249578714301
616,0.20999288558959961
617,0.2815689742565155
618,0.090421520173549597
619,0.081558033823966897
620,0.28609591722488398
621,0.078391134738922105
622,0.0371864698827266
623,0.0418285652995109
624,0.061396233737468699
625,0.27108010649681091
626,0.2377903163433075
627,0.2848306000232696
628,0.046044483780860901
629,0.085652381181716905
630,0.28622674942016602
631,0.032446149736642803
632,0.0509229786694049
633,0.14854612946510309
634,0.0381844639778137
635,0.0229909475892782
636,0.041688237339258097
637,0.12366969883441919
638,0.028468199074268299
639,0.0273932330310344
640,0.0110100954771041
641,0.0521513074636459
642,0.078292593359947205
643,0.042108617722988101
644,0.017776235938072201
645,0.049361757934093399
646,0.065435104072093894
647,0.067387126386165605
648,0.15099331736564631
649,0.063382372260093606
650,0.052770495414733803
651,0.1545582115650177
652,0.052645824849605498
653,0.18660923838615409
654,0.062812551856040899
655,0.33194002509117121
656,0.26280951499938959
657,0.018240982666611599
658,0.3121069073677063
659,0.25281170010566711
660,0.0867502987384796
661,0.097910918295383398
662,0.22506445646286011
663,0.11011955142021169
664,0.13019265234470359
665,0.17787070572376251
666,0.081500023603439303
667,0.16158229112625119
668,0.0322958156466484
669,0.1174222752451896
670,0.34973382949829102
671,0.046252928674220997
672,0.020135708153247799
673,0.13408356904983521
674,0.1239204704761505
675,0.080424651503562899
676,0.0521740913391113
677,0.028667151927947901
678,0.16593711078166959
679,0.1330053359270095
680,0.034387286752462297
681,0.153724730014801
682,0.029972873628139399
683,0.086728453636169406
684,0.0255035702139139
685,0.0342094786465168
686,0.050888627767562797
687,0.078673750162124606
688,0.037698991596698699
689,0.090236231684684698
690,0.041731238365173298
691,0.087373107671737602
692,0.035333093255758202
693,0.0111688245087862
694,0.1315223276615142
695,0.029916403815150198
696,0.029507998377084701
697,0.081972196698188698
698,0.018172360956668802
699,0.0279486812651157
700,0.031614508479833603
701,0.087403550744056702
702,0.2165969908237457
703,0.021431092172861099
704,0.089012563228607094
705,0.088786102831363595
706,0.085839726030826499
707,0.026949938386678599
708,0.18732956051826469
709,0.048885714262723902
710,0.052605785429477601
711,0.085159115493297494
712,0.066829085350036593
713,0.0376827605068683
714,0.035942696034908198
715,0.1082793474197387
716,0.12995006144046781
717,0.027124684303998899
718,0.0118882581591606
719,0.15417759120464319
720,0.048989892005920403
721,0.057857722043990999
722,0.035436876118183101
723,0.037187568843364702
724,0.30519416928291321
725,0.029841065406799299
726,0.028126215562224301
727,0.043098375201225197
728,0.045063093304633997
729,0.052486911416053703
730,0.0081133153289556
731,0.041288010776042897
732,0.0179518889635801
733,0.036218866705894401
734,0.0121491979807615
735,0.028573669493198301
736,0.0335884690284729
737,0.034309685230255099
738,0.025025960057973799
739,0.021696329116821199
740,0.10677719116210931
741,0.1101337522268295
742,0.089463204145431505
743,0.16543853282928461
744,0.039705350995063698
745,0.1723952442407608
746,0.2851029634475708
747,0.014150461181998201
748,0.18101586401462549
749,0.11481656134128571
750,0.054112143814563703
751,0.093575462698936407
752,0.043206203728914198
753,0.084394834935665103
754,0.088202700018882696
755,0.033459320664405802
756,0.29307770729064941
757,0.10593850910663601
758,0.061805076897144297
759,0.029273036867380101
760,0.1899589598178863
761,0.046235285699367502
762,0.0596905685961246
763,0.071877777576446505
764,0.0159403793513774
765,0.16517937183380119
766,0.047280766069888999
767,0.0149477403610944
768,0.12556090950965881
769,0.025136191397905301
770,0.099465861916541998
771,0.076799266040325095
772,0.0079331416636705
773,0.022522177547216402
774,0.0253883730620145
775,0.023823928087949701
776,0.027843315154314
777,0.046189691871404599
778,0.019053680822253199
779,0.1053752899169921
780,0.081571877002715995
781,0.0111590232700109
782,0.034583002328872597
783,0.17743127048015589
784,0.68347728252410889
785,0.049599092453718102
786,0.31536823511123657
787,0.2328456044197082
788,0.0420210100710392
789,0.084174327552318504
790,0.52537226676940918
791,0.098462313413619995
792,0.0197503082454204
793,0.0598577409982681
794,0.57625281810760498
795,0.099959298968315097
796,0.056610763072967502
797,0.19312965869903559
798,0.2183265686035156
799,0.16282442212104789
800,0.053549498319625799
801,0.16168892383575439
802,0.1414611935615539
803,0.15034466981887809
804,0.049104269593954003
805,0.14833743870258331
806,0.2181530892848968
807,0.0236917566508054
808,0.021903820335865
809,0.17278695106506339
810,0.1626932621002197
811,0.0310744661837816
812,0.039400100708007799
813,0.083644449710845906
814,0.016497150063514699
815,0.028137847781181301
816,0.062459427863359403
817,0.023638634011149399
818,0.040820840746164301
819,0.0317445285618305
820,0.1418112516403198
821,0.21712350845336911
822,0.011606642045080599
823,0.057260677218437098
824,0.18768961727619171
825,0.18770475685596461
826,0.12842454016208649
827,0.098898038268089294
828,0.013976358808577
829,0.0517452582716941
830,0.031938046216964701
831,0.0179915241897106
832,0.040378052741289097
833,0.033438131213188102
834,0.056044049561023698
835,0.022085417062044099
836,0.0173982419073581
837,0.0103012165054678
838,0.023551706224679898
839,0.1753667145967483
840,0.0130678983405232
841,0.076762482523918096
842,0.11410424113273621
843,0.035154670476913397
844,0.0156767424196004
845,0.067951858043670599
846,0.2095962762832641
847,0.019178802147507602
848,0.036802072077989502
849,0.088999770581722204
850,0.037132587283849702
851,0.030492154881358102
852,0.1252604722976684
853,0.0094329984858632001
854,0.057332858443260103
855,0.0146916285157203
856,0.057683788239955902
857,0.1105979979038238
858,0.038671977818012203
859,0.064790047705173395
860,0.014397742226719801
861,0.025313852354884099
862,0.0118072740733623
863,0.095982953906059196
864,0.020319346338510499
865,0.040481507778167697
866,0.077557995915412903
867,0.021527014672756101
868,0.083349034190177904
869,0.1543424129486084
870,0.096634782850742298
871,0.013037396594881999
872,0.084761932492256095
873,0.090490892529487596
874,0.0263199731707572
875,0.015451012179255401
876,0.0145399970933794
877,0.041601084172725601
878,0.047468185424804597
879,0.016969975084066301
880,0.026756880804896299
881,0.056291040033102001
882,0.016314340755343399
883,0.036487031728029203
884,0.027700986713170998
885,0.040721941739320699
886,0.028122577816247898
887,0.015809591859579
888,0.1489734351634979
889,0.0142206437885761
890,0.25764143466949457
891,0.028343355283141101
892,0.041762769222259501
893,0.052291855216026299
894,0.030461389571428299
895,0.015270025469362699
896,0.059936925768852199
897,0.0151499547064304
898,0.0142363663762807
899,0.061746083199977798
900,0.047684568911790799
901,0.028556929901242201
902,0.1220081076025962
903,0.1286804378032684
904,0.070559613406658103
905,0.083743289113044697
906,0.0203701686114072
907,0.1610002517700195
908,0.099086165428161593
909,0.14533731341362
910,0.20368342101573941
911,0.15623602271080009
912,0.12575811147689819
913,0.2421057522296905
914,0.10272163152694699
915,0.0091665629297494004
916,0.1119814813137054
917,0.2625688910484314
918,0.0148917715996503
919,0.113532431423664
920,0.2145951092243194
921,0.032709091901779098
922,0.033301398158073398
923,0.16230830550193781
924,0.1659346669912338
925,0.031588751822710003
926,0.047257460653781801
927,0.16753324866294861
928,0.16044127941131589
929,0.0245602093636989
930,0.028533866629004399
931,0.0300761964172124
932,0.043831784278154297
933,0.1080334708094596
934,0.053526990115642499
935,0.067013069987297003
936,0.0074786762706934998
937,0.028177494183182699
938,0.042417988181114197
939,0.0143052656203508
940,0.0143500231206417
941,0.092438668012619005
942,0.077502757310867296
943,0.1956203877925872
944,0.016734834760427399
945,0.0325911343097686
946,0.045957371592521598
947,0.038090363144874503
948,0.054338194429874399
949,0.0128179341554641
950,0.12527641654014579
951,0.0495339781045913
952,0.121634729206562
953,0.083062157034873907
954,0.044586092233657802
955,0.037075370550155598
956,0.02433742582798
957,0.23355311155319211
958,0.0278646480292081
959,0.070123314857482896
960,0.064345605671405695
961,0.037200383841991397
962,0.0108838304877281
963,0.22563664615154261
964,0.033856496214866597
965,0.040460124611854498
966,0.036338578909635502
967,0.038422636687755501
968,0.049340162426233201
969,0.25531762838363647
970,0.010227159596979601
971,0.071624264121055603
972,0.22522507607936859
973,0.074111834168434101
974,0.017325405031442601
975,0.035356823354959398
976,0.092674747109413105
977,0.19699329137802121
978,0.0623523965477943
979,0.1013789176940918
980,0.22659784555435181
981,0.098317489027976906
982,0.0131053812801837
983,0.030571695417165701
984,0.48702347278594971
985,0.1067611128091812
986,0.039584614336490603
987,0.38359755277633661
988,0.21264293789863581
989,0.063391894102096502
990,0.12975609302520749
