maturity_days,forward_log_moneyness,heston_target_price,heston_target_implied_volatility,variance_reduced_price,model_implied_volatility,local_vol_price,local_vol_iv,hagan_sabr_price,hagan_sabr_iv,l1_sabr_sde_price,l1_sabr_sde_iv,variance_reduction_factor
8,-0.2000000000000007,0.030511348752042901,0.39512548947524201,0.043821148298665902,0.4054400983547754,0.017391976192640001,0.38041420644029977,0.0010703994096345,0.32455618721123303,0.00057504718948890002,0.3149173633476347,2.9434774473571963
8,-0.1900000000000007,0.044617628452215202,0.38697943795191803,0.058414539680628798,0.3948260134174067,0.029681180216435701,0.3758584389255219,0.0019205916250752001,0.31845813853381411,0.001254080442573,0.31151674544552749,2.9969349660443574
8,-0.17999999999999999,0.065213572156608196,0.378626951187787,0.078429468007986294,0.3841286505399315,0.047037340634691803,0.36937568081373662,0.0034580113434613999,0.31231635896186261,0.0025703000901486001,0.30724669028342849,3.0102486241152069
8,-0.16999999999999929,0.095269089959401698,0.37005164664152002,0.10820080215089201,0.3739519949527248,0.072295914547723203,0.36194956236793618,0.0062455895911852997,0.3061296414021733,0.0051389193348673002,0.30262500808873272,3.0220774780146105
8,-0.1600000000000005,0.13910550605760361,0.36123480857861501,0.14977863918172851,0.36356710546462728,0.10747654010280119,0.35339130179950412,0.011310897249287201,0.29989679140840292,0.0086969229079985003,0.29497859584822728,3.0641599692716812
8,-0.15000000000000011,0.20300674997361051,0.352154905601616,0.20800942883183809,0.35294716173359642,0.1579542093367417,0.3442473760906985,0.020529557757988402,0.29361664811406801,0.0148990253751537,0.287341683144896,3.1309200456703361
8,-0.1400000000000006,0.2961062283402498,0.34278708382349599,0.29425584871391958,0.34257579452759879,0.23458791818496019,0.33515436479815047,0.037321362860498003,0.28728811260677478,0.025773473867676502,0.27967296218251131,3.184634722820272
8,-0.1299999999999992,0.4316722518533424,0.33310236816453498,0.42215513448958109,0.33232096125743549,0.35408135638111649,0.32631606092835103,0.067906696969424196,0.28091018625520747,0.046842818688949697,0.27280803198003623,3.2069365763655777
8,-0.1200000000000002,0.62897166617949551,0.32306664294888898,0.61001385526493801,0.32194699660996479,0.53488560612606995,0.3172469452699791,0.12355542885180699,0.2744820223972701,0.087774332294211097,0.26649539600151928,3.2036207217495334
8,-0.1099999999999992,0.91597477141385764,0.31263938826336501,0.89089201849771815,0.3115740204365442,0.80073854590032101,0.30756234456104609,0.22456643964212469,0.26800299603802169,0.16370081765368491,0.26004333748974101,3.2186097309544413
8,-0.099999999999999797,1.3332868418110593,0.30177197089220698,1.309396546957607,0.30104069575228198,1.1984222567221332,0.2975202079436764,0.40720178632904691,0.26147279792885247,0.30722946493779291,0.25375348764253591,3.2638619923379162
8,-0.089999999999999206,1.9398835466190576,0.29040541550604099,1.924406997530836,0.29006227997620709,1.7891901679331506,0.28698522864963177,0.7355221862374961,0.25489156179998729,0.57977930358995711,0.2477142296654761,3.3535654593564401
8,-0.079999999999999294,2.8215398088968868,0.27846758737591598,2.8132138118965448,0.27833286033519278,2.6494481151108498,0.2756311783892666,1.3210365236626558,0.2482600368703346,1.10135780874809,0.242133003050332,3.5398146986852601
8,-0.069999999999999896,4.1033917325648872,0.26586982763977601,4.1117779711796532,0.2659695610165253,3.9104134790756913,0.26354124099736392,2.3541230548032388,0.24157982243620291,2.0488239641515862,0.2362857461589179,3.8604585120617601
8,-0.060000000000000199,5.9691682799111732,0.25250370826573998,6.0078574022549809,0.25284475308205578,5.7557798406758209,0.25060093064666722,4.1517284478953798,0.2348536878412735,3.7466945834769998,0.23035309258346459,4.3684561565681301
8,-0.049999999999999802,8.6921031270603635,0.23824029531843699,8.7731830049892476,0.23877573613075079,8.4876431283936942,0.23687919498612639,7.2245335869691303,0.22808601007511831,6.7175349802093329,0.22434128676353321,5.1740533090469514
8,-0.040000000000000598,12.68882591557758,0.222939634627529,12.808446418427204,0.22353956413193221,12.576782160810399,0.222375546514993,12.361037452411781,0.22128337331376161,11.775610971515595,0.21827824698732909,6.4111273232979116
8,-0.030000000000000401,18.625051148313105,0.20649496015069499,18.771722747749266,0.20706370834333429,18.671833889172099,0.20667653276453579,20.712282379110771,0.2144553903938452,20.128256401888105,0.21225573083392779,8.2867194471537644
8,-0.019999999999999199,27.653837056474917,0.18899428059644899,27.772158191260186,0.1893587429864125,27.958832561369309,0.18993302863784139,33.836751584982949,0.20761582514620799,33.369485948109784,0.2062354996269706,11.044007789626164
8,-0.0099999999999995995,42.016698273201655,0.171297636232319,42.065789891592097,0.17142365154272171,42.672161124624751,0.1729789971844484,53.634990114130687,0.20078411393153409,53.41820854161859,0.2002391670618113,15.09881876614846
8,6.6613381477509373e-16,66.381430870972494,0.15686523266252,66.562887491413846,0.15729405016743031,67.382700069828317,0.15923142970823609,82.089622651177706,0.1939873960171091,82.25104543871339,0.19436888327353899,13.692679591335075
8,0.010000000000000699,35.2149336268239,0.15276388080709,35.252436048258446,0.15286111358074231,36.07933409262634,0.1550019968981437,48.762554383289626,0.1872631444848491,49.24708017847599,0.18847856839425139,10.658392585384354
8,0.020000000000000798,18.846266110239199,0.15933689017696201,18.695228068482205,0.1588300918147052,19.332690537453672,0.16096128074853669,25.48651344824043,0.1806623973127765,26.166927414625359,0.1827611556917845,8.8188702912237691
8,0.030000000000000901,10.474527606229801,0.170167663078339,10.347329288010711,0.16956442032665739,10.659489075257694,0.171039483022593,11.352714146175458,0.1742533405035108,12.012898808822268,0.1772411552101982,7.1380876571958076
8,0.040000000000000799,5.9564908093752296,0.18184678004812499,5.8517984365583855,0.18111218820318811,5.9675988416782406,0.1819243370736327,4.1586548030904851,0.1681244764100277,4.6262268701366276,0.1719521480334994,5.3196779028773378
8,0.050000000000000697,3.4243218181005899,0.193305342837853,3.3228704643924072,0.19222018526726251,3.3824819826215342,0.1928600785032992,1.2076339965637146,0.1623857463916013,1.4495970249492802,0.1669539004399469,3.979145363908557
8,0.0600000000000004,1.9776575962649601,0.20425912135759999,1.8922018789415167,0.20283654017864419,1.9223118504757708,0.20334229449369959,0.2690834869213603,0.1571649753522143,0.35422158071655269,0.16206467411035769,3.1795866773536168
8,0.070000000000000007,1.1438961995514201,0.214667489131628,1.087817507024633,0.21319571593513639,1.0837043563055331,0.2130857871960507,0.045038661932401199,0.15259675606210821,0.068614078919180102,0.15810450534104389,2.7140404025582807
8,0.080000000000000002,0.66167661379103004,0.22456317767019399,0.6399934348950429,0.22366223433653881,0.60199068357450591,0.22203005402198681,0.0056509709381190997,0.14880297477439469,0.0109173943249021,0.15534061483424161,2.3872094891613624
15,-0.1999999999999999,0.7066095555865104,0.37814872626046903,0.73161842877352634,0.37956562708225872,0.60639893494812169,0.37207311214926331,0.1404849617902135,0.32436255736356129,0.10421265666843391,0.31644983890981698,4.2731687584428908
15,-0.1900000000000007,0.88344882474211772,0.37001826871400501,0.89615884538149193,0.37061209075444862,0.76806420781426854,0.36432345051302728,0.1948689478382892,0.31826814677496379,0.14825588918052249,0.31077497700569512,4.3611769996566485
15,-0.17999999999999969,1.1046852145182129,0.36167965013311898,1.1021448597954877,0.36158185112152569,0.97442002912072023,0.35644375452119448,0.27105247265885701,0.3121300313816347,0.2121213152067653,0.30515790811507781,4.4714215607316827
15,-0.16999999999999951,1.3815478982887726,0.35311683308689901,1.3616432771282081,0.35248591871376411,1.2350118637672034,0.34831347331433199,0.3780279256390599,0.30594700481051978,0.30284057898578548,0.29938734898323388,4.6012197541329902
15,-0.16000000000000009,1.7281556027110128,0.34431180753115498,1.6904596486017085,0.34332881247667141,1.5707757722599782,0.34010476126812211,0.52857180171304563,0.29971787332788019,0.43106149981287251,0.29342800342984537,4.7253924616162921
